Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
400,Hunter Tyson,24,DEN,PF,12,0,9.2,0.8,1.9,.435,0.3,1.1,.231,0.6,0.8,.700,.500,0.5,0.6,.857,0.3,1.3,1.7,0.5,0.2,0.3,0.4,1.2,2.4,,tysonhu01
401,Kel'el Ware,20,MIA,C,10,0,6.9,1.0,2.5,.400,0.2,0.7,.286,0.8,1.8,.444,.440,0.2,0.2,1.000,0.2,1.4,1.6,0.1,0.3,0.5,0.4,0.6,2.4,,wareke01
402,Patrick Baldwin Jr.,22,WAS,SF,11,0,5.1,0.8,1.7,.474,0.5,1.0,.455,0.4,0.7,.500,.605,0.2,0.4,.500,0.3,0.8,1.1,0.1,0.2,0.2,0.2,0.4,2.3,,baldwpa01
403,Vlatko Čančar,27,DEN,PF,4,0,8.5,1.0,1.8,.571,0.3,0.5,.500,0.8,1.3,.600,.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,,cancavl01
404,John Konchar,28,MEM,SG,11,0,12.0,0.7,1.6,.444,0.5,1.5,.375,0.2,0.2,1.000,.611,0.3,0.4,.750,0.7,1.9,2.6,0.8,0.5,0.5,0.5,0.8,2.3,,konchjo01
405,Lester Quiñones,24,PHI,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,,quinole01
406,Orlando Robinson,24,SAC,C,3,0,7.3,0.7,0.7,1.000,0.3,0.3,1.000,0.3,0.3,1.000,1.250,0.7,1.3,.500,0.7,1.3,2.0,0.3,0.3,0.0,1.0,1.3,2.3,,robinor01
407,Jeenathan Williams,25,HOU,SG,3,0,3.3,1.0,1.3,.750,0.3,0.7,.500,0.7,0.7,1.000,.875,0.0,0.0,,0.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,2.3,,willije02
408,Steven Adams,31,HOU,C,11,0,10.7,0.7,1.5,.500,0.0,0.0,,0.7,1.5,.500,.500,0.7,1.6,.444,1.3,1.6,2.9,1.0,0.3,0.1,1.5,1.3,2.2,,adamsst01
409,Kai Jones,24,LAC,C,15,0,8.5,0.9,1.2,.722,0.0,0.0,,0.9,1.2,.722,.722,0.5,0.7,.700,0.7,1.3,2.0,0.3,0.2,0.6,0.4,0.9,2.2,,joneska01
410,Christian Koloko,24,LAL,C,13,0,9.4,1.0,1.5,.684,0.0,0.2,.000,1.0,1.3,.765,.684,0.2,0.2,1.000,0.8,1.2,1.9,0.2,0.3,0.3,0.4,1.1,2.2,,kolokch01
411,Ulrich Chomche,19,TOR,PF,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,chomcul01
