Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
188,Paul George,34,PHI,PF,10,10,295,16.7,.532,.481,.244,3.3,18.6,10.4,29.6,3.6,1.0,16.7,26.8,0.0,0.4,0.4,.060,0.9,1.3,2.2,0.3,,georgpa01
189,Trayce Jackson-Davis,24,GSW,C,20,18,340,19.1,.606,.008,.237,10.4,20.5,15.4,17.9,0.8,3.6,11.5,17.9,0.7,0.5,1.3,.178,1.1,1.2,2.3,0.4,,jackstr02
190,Dereck Lively II,20,DAL,C,17,10,393,20.9,.702,.000,.489,13.6,20.6,17.2,13.7,1.2,6.4,15.2,14.2,1.2,0.6,1.8,.225,1.8,2.8,4.6,0.6,,livelde01
191,Davion Mitchell,26,TOR,PG,22,13,612,7.4,.480,.474,.171,2.0,6.9,4.4,24.2,1.6,0.6,22.0,14.2,-0.2,0.2,0.1,.005,-4.2,-0.7,-4.9,-0.5,,mitchda01
192,Spencer Dinwiddie,31,DAL,PG,20,0,422,12.6,.576,.607,.359,0.8,7.2,4.1,19.1,1.5,1.1,10.0,15.1,0.8,0.3,1.1,.127,-0.3,0.1,-0.2,0.2,,dinwisp01
193,Kris Dunn,30,LAC,PG,24,13,543,11.5,.522,.483,.069,3.9,15.3,9.6,16.4,3.3,1.3,14.8,13.9,0.2,1.0,1.2,.102,-2.7,3.0,0.4,0.3,,dunnkr01
194,Zach Edey,22,MEM,C,14,9,281,19.9,.653,.095,.314,16.7,19.7,18.2,5.5,2.0,4.7,16.1,20.4,0.5,0.5,1.0,.179,0.0,0.5,0.5,0.2,,edeyza01
195,Trey Murphy III,24,NOP,SF,9,9,293,13.1,.512,.540,.216,2.8,14.0,8.1,11.6,1.3,1.9,7.9,23.9,0.1,0.1,0.1,.022,-0.7,-1.6,-2.3,0.0,,murphtr02
196,Nic Claxton,25,BRK,C,17,9,422,16.8,.632,.019,.358,8.8,28.4,18.3,14.2,1.2,5.0,15.2,15.3,0.6,0.5,1.1,.129,-0.3,1.9,1.6,0.4,,claxtni01
197,Goga Bitadze,25,ORL,C,19,16,421,19.8,.702,.073,.323,12.7,24.2,18.2,12.1,1.9,7.2,18.6,13.9,0.9,1.0,1.9,.220,-0.3,3.1,2.7,0.5,,bitadgo01
