Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
168,Tom Boerwinkle,27,CHI,C,8,0,22.0,1.1,3.0,.375,1.5,2.5,.600,6.8,5.0,2.8,3.8,,boerwto01
169,Travis Grant,23,LAL,SF,33,,4.6,1.5,3.5,.440,0.7,0.8,.885,1.6,0.2,0.6,3.8,,granttr01
170,John Tresvant,33,BAL,PF,55,,9.8,1.5,3.3,.467,0.7,1.1,.695,2.8,0.6,1.8,3.8,,tresvjo01
171,Rowland Garrett,22,CHI,SF,35,0,6.0,1.5,3.4,.441,0.6,0.9,.677,1.7,0.2,0.8,3.6,,garrero01
172,John Gianelli,22,NYK,C,52,1,9.9,1.5,3.4,.451,0.4,0.6,.697,2.9,0.5,1.4,3.5,,gianejo01
173,Toby Kimball,30,KCO,PF,67,,9.6,1.4,3.3,.436,0.7,1.0,.657,2.9,0.4,1.3,3.5,,kimbato01
174,John Wetzel,28,ATL,SG,28,,18.0,1.5,3.4,.447,0.5,0.6,.824,2.1,1.4,1.5,3.5,,wetzejo01
175,Scott English,22,PHO,SF,29,,6.8,1.2,3.2,.387,0.7,1.0,.724,1.5,0.5,1.3,3.2,,englisc01
176,Frank Russell,23,CHI,SG,23,0,5.7,1.3,3.3,.377,0.7,0.8,.889,0.7,0.7,0.5,3.2,,russefr01
177,John Warren,25,CLE,SG,40,,7.3,1.4,2.8,.486,0.5,0.5,.947,1.1,0.9,1.1,3.2,,warrejo01
178,Walt Wesley,28,2TM,C,57,,8.3,1.4,3.5,.381,0.5,0.8,.565,2.6,0.5,1.4,3.2,,weslewa01
178,Walt Wesley,28,CLE,C,12,,9.2,1.2,3.9,.298,0.7,1.0,.667,3.2,0.6,1.8,3.0,,weslewa01
178,Walt Wesley,28,PHO,C,45,,8.1,1.4,3.4,.406,0.4,0.8,.529,2.5,0.5,1.2,3.2,,weslewa01
179,Art Williams,33,BOS,PG,81,,12.0,1.4,3.2,.421,0.5,0.7,.768,2.2,2.9,1.7,3.2,,williar01
180,Harold Fox,23,BUF,PG,10,,8.4,1.2,3.2,.375,0.7,0.8,.875,0.8,1.0,0.7,3.1,,foxha01
181,Dick Gibbs,24,2TM,SF,67,,11.0,1.2,3.3,.360,0.7,0.9,.746,1.4,0.9,1.7,3.1,,gibbsdi01
181,Dick Gibbs,24,HOU,SF,1,,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,1.0,0.0,,gibbsdi01
181,Dick Gibbs,24,KCO,SF,66,,11.1,1.2,3.3,.362,0.7,1.0,.746,1.4,0.9,1.7,3.1,,gibbsdi01
182,Gary Gregor,27,MIL,SF,9,,9.8,1.2,3.7,.333,0.6,0.8,.714,3.6,1.0,1.0,3.0,,gregoga01
183,Paul Stovall,24,PHO,SF,25,,8.4,1.0,3.0,.342,1.0,1.5,.632,2.4,0.5,1.5,3.0,,stovapa01
184,John Tschogl,22,ATL,SF,10,,9.4,1.4,4.0,.350,0.2,0.4,.500,2.1,0.6,2.5,3.0,,tschojo01
185,William Smith,23,POR,C,8,,5.4,1.1,1.9,.600,0.6,1.0,.625,1.0,0.1,1.0,2.9,,smithwi01
186,Charles Dudley,22,SEA,PG,12,,8.3,0.8,1.9,.435,1.2,1.3,.875,0.5,1.3,1.3,2.8,,dudlech01
187,Ken Durrett,24,KCO,SF,8,,8.1,1.0,2.6,.381,0.8,1.0,.750,1.8,0.4,2.0,2.8,,durreke01
